form	lemma	POS	morph
༄༅། །		PUNCT
ཀློང་ཆེན་	ཀློང་ཆེན་	PROPN
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
གི་	གི་	PART
ཡུམ་ཀ་	ཡུམ་ཀ་	PROPN
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
རྒྱལ་མོ་	རྒྱལ་མོ་	OTHER
འི་	གི་	PART
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
བསྙེན་	བསྙེན་	VERB
ཡིག་	ཡིག་	NOUN
བཞུགས་	བཞུགས་	VERB
།།		PUNCT
དུས་གསུམ་	དུས་གསུམ་	OTHER
རྒྱལ་	རྒྱལ་	VERB
དང་	དང་	NO_POS
རྒྱལ་སྲས་	རྒྱལ་སྲས་	NOUN
ཀྱི་	གི་	PART
། །		PUNCT
ཡུམ་	ཡུམ་	NOUN
གྱུར་	གྱུར་	VERB
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ཆོས་དབྱིངས་	ཆོས་དབྱིངས་	NOUN
མ་	མ་	PART
འི་	གི་	PART
། །		PUNCT
རྣམ་	རྣམ་	NOUN
རོལ་	རོལ་	VERB
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
རྒྱལ་མོ་	རྒྱལ་མོ་	OTHER
ལ་	ལ་	PART
"།
།"		PUNCT
འདུད་	འདུད་	NO_POS
དོ་	གོ་	PART
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
རྣམ་	རྣམ་	NOUN
གཉིས་	གཉིས་	NUM
སྩོལ་	སྩོལ་	VERB
། །		PUNCT
ཡུམ་ཀ་	ཡུམ་ཀ་	PROPN
འི་	གི་	PART
བསྙེན་སྒྲུབ་	བསྙེན་སྒྲུབ་	NOUN
བྱེད་པ་	བྱེད་པ་	VERB
ར་	ལ་	PART
འདོད་པ་	འདོད་པ་	VERB
ས་	གིས་	PART
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འདུ་བ་	འདུ་བ་	VERB
འི་	གི་	PART
གནས་	གནས་	NOUN
ཁྱད་པར་ཅན་	ཁྱད་པར་ཅན་	ADJ
དུ་	ལ་	PART
།		PUNCT
རྡུལ་ཚོན་	རྡུལ་ཚོན་	NOUN
ནམ་	གམ་	PART
རས་བྲིས་	རས་བྲིས་	NO_POS
ཀྱི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
ཟླ་གམ་	ཟླ་གམ་	ADJ
སྒོ་	སྒོ་	NOUN
གཅིག་པོ་	གཅིག་པོ་	NUM
མདུན་	མདུན་	NOUN
བསྟན་	བསྟན་	VERB
གྱི་	གི་	PART
ལྟེ་བ་	ལྟེ་བ་	NOUN
ར་	ལ་	PART
ཆོས་འབྱུང་	ཆོས་འབྱུང་	NOUN
དམར་པོ་	དམར་པོ་	ADJ
བཾ་		NON_WORD
ཡིག་	ཡིག་	NOUN
གིས་	གིས་	PART
མཚན་པ་	མཚན་པ་	VERB
འི་	གི་	PART
སྟེང་	སྟེང་	NOUN
།		PUNCT
བྷནྡྷ་		NON_WORD
བཟང་པོ་	བཟང་པོ་	ADJ
ཆང་	ཆང་	NOUN
དང་	དང་	NO_POS
ཆོས་སྨན་	ཆོས་སྨན་	OTHER
སིནྡྷུ་		NON_WORD
ར་	ར་	NOUN
བྲན་པ་	བྲན་པ་	NO_POS
ཉིད་	ཉིད་	DET
ཡུན་རིང་	ཡུན་རིང་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
ན་ཁ་	ན་ཁ་	NO_POS
མར་ཁུ་	མར་ཁུ་	NOUN
ས་	གིས་	PART
བཅད་པ་	བཅད་པ་	VERB
འམ་	གམ་	PART
།		PUNCT
ཡང་ན་	ཡང་ན་	NO_POS
སྐམ་	སྐམ་	VERB
རྫ་	རྫ་	NOUN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
