form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
རིག་འཛིན་	རིག་འཛིན་	OTHER
འདུས་པ་	འདུས་པ་	VERB
འི་	གི་	PART
བརྒྱུད་	བརྒྱུད་	NO_POS
འདེབས་	འདེབས་	VERB
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
ཆ་	ཆ་	NOUN
ར་	ལ་	PART
འབེབས་	འབེབས་	VERB
བཞུགས་	བཞུགས་	VERB
།		PUNCT
རིགས་བརྒྱ་	རིགས་བརྒྱ་	OTHER
འི་	གི་	PART
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
ཀུན་བཟང་	ཀུན་བཟང་	ADJ
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
སེམས་	སེམས་	NOUN
།		PUNCT
		
།		PUNCT
དྲུག་པ་	དྲུག་པ་	NUM
འི་	གི་	PART
རྒྱལ་ཚབ་	རྒྱལ་ཚབ་	NOUN
པྲ་	པྲ་	NOUN
ཧེ་	ཧེ་	INTJ
བཛྲ་	བཛྲ་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
		
།		PUNCT
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
མཆོག་	མཆོག་	ADJ
བརྙེས་	བརྙེས་	NO_POS
འཇམ་དཔལ་	འཇམ་དཔལ་	PROPN
བཤེས་གཉེན་	བཤེས་གཉེན་	NOUN
ལ་	ལ་	PART
།		PUNCT
		
།		PUNCT
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
སོ་	གོ་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྩོལ་	སྩོལ་	VERB
།		PUNCT
		
།		PUNCT
བརྟུལ་ཞུགས་	བརྟུལ་ཞུགས་	NOUN
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
ཕྱིན་	ཕྱིན་	VERB
མཁས་པ་	མཁས་པ་	VERB
ཤྲཱི་		NON_WORD
སེང་	སེང་	NOUN
།		PUNCT
		
།		PUNCT
ཟག་མེད་	ཟག་མེད་	ADJ
འཇའ་ལུས་	འཇའ་ལུས་	OTHER
རབ་	རབ་	ADV
གྲུབ་	གྲུབ་	VERB
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
མདོ་	མདོ་	NOUN
།		PUNCT
		
།		PUNCT
ཐེག་མཆོག་	ཐེག་མཆོག་	OTHER
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
ཤིང་རྟ་	ཤིང་རྟ་	NOUN
བི་	བི་	NO_POS
མ་	མ་	PART
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
།		PUNCT
		
།		PUNCT
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
སོ་	གོ་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྩོལ་	སྩོལ་	VERB
།		PUNCT
		
།		PUNCT
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
ཁྱབ་བདག་	ཁྱབ་བདག་	OTHER
པདྨ་	པདྨ་	NOUN
འབྱུང་	འབྱུང་	VERB
།		PUNCT
		
།		PUNCT
འཇམ་དཔལ་	འཇམ་དཔལ་	PROPN
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
མངའ་བདག་	མངའ་བདག་	NOUN
ཁྲི་	ཁྲི་	NUM
སྲོང་	སྲོང་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
		
།		PUNCT
གངས་ཅན་	གངས་ཅན་	ADJ
མུན་སེལ་	མུན་སེལ་	NOUN
བཻ་	བཻ་	NO_POS
རོ་	རོ་	NOUN
མཚོ་	མཚོ་	NOUN
རྒྱལ་	རྒྱལ་	VERB
ལ་	ལ་	PART
།		PUNCT
		
།		PUNCT
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
སོ་	གོ་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྩོལ་	སྩོལ་	VERB
།		PUNCT
		
།		PUNCT
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
བརྡའ་	བརྡའ་	OTHER
འགྲོལ་		NON_WORD
ཀུན་མཁྱེན་	ཀུན་མཁྱེན་	OTHER
དྲི་མེད་	དྲི་མེད་	ADJ
འོད་	འོད་	NOUN
།		PUNCT
		
།		PUNCT
ཟབ་	ཟབ་	VERB
གཏེར་	གཏེར་	NOUN
བཀའ་	བཀའ་	NOUN
བབ་	བབ་	VERB
རིག་འཛིན་	རིག་འཛིན་	OTHER
འཇིགས་	འཇིགས་	VERB
བྲལ་	བྲལ་	VERB
གླིང་	གླིང་	NOUN
།		PUNCT
		
།		PUNCT
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
ཟློས་གར་	ཟློས་གར་	NOUN
ཀུན་བཟང་	ཀུན་བཟང་	ADJ
གཞན་ཕན་	གཞན་ཕན་	OTHER
ཞབས་	ཞབས་	NOUN
།		PUNCT
		
།		PUNCT
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
སོ་	གོ་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྩོལ་	སྩོལ་	VERB
།		PUNCT
		
།		PUNCT
གདམས་པ་	གདམས་པ་	VERB
འི་	གི་	PART
མཛོད་འཛིན་	མཛོད་འཛིན་	OTHER
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འི་	གི་	PART
མྱུ་གུ་	མྱུ་གུ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
		
།		PUNCT
མཁའ་	མཁའ་	VERB
དང་	དང་	NO_POS
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
འཁོར་	འཁོར་	NOUN
བརྒྱུར་		NON_WORD
མདོ་སྔགས་	མདོ་སྔགས་	NOUN
གླིང་	གླིང་	NOUN
།		PUNCT
		
།		PUNCT
བཀའ་དྲིན་	བཀའ་དྲིན་	NOUN
མཉམ་མེད་	མཉམ་མེད་	ADJ
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
ལ་	ལ་	PART
།		PUNCT
		
།		PUNCT
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
སོ་	གོ་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྩོལ་	སྩོལ་	VERB
།		PUNCT
		
།		PUNCT
རྒྱལ་	རྒྱལ་	VERB
ཐབས་	ཐབས་	NOUN
སྤྱི་བླུགས་	སྤྱི་བླུགས་	NO_POS
དབང་	དབང་	NOUN
ཆུ་	ཆུ་	VERB
རྒྱུད་	རྒྱུད་	NOUN
སྨིན་	སྨིན་	VERB
ཞིང་	ཅིང་	PART
།		PUNCT
		
།		PUNCT
སྤྱི་	སྤྱི་	DET
ཁྱད་	ཁྱད་	NOUN
