form	lemma	POS	morph
འུྃ་		NON_WORD
༔		PUNCT
		
ཀློང་ཆེན་	ཀློང་ཆེན་	PROPN
སྙིང་	སྙིང་	NOUN
གི་	གི་	PART
ཐིག་ལེ་	ཐིག་ལེ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
༔		PUNCT
		
རིག་འཛིན་	རིག་འཛིན་	OTHER
ཚེ་སྒྲུབ་	ཚེ་སྒྲུབ་	NOUN
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
བུམ་	བུམ་	NOUN
བཅུད་	བཅུད་	NOUN
བཞུགས་	བཞུགས་	VERB
༔		PUNCT
འུྃ་		NON_WORD
༔		PUNCT
		
འཆི་མེད་	འཆི་མེད་	NOUN
རིག་འཛིན་	རིག་འཛིན་	OTHER
ལྷ་	ལྷ་	NOUN
ལ་	ལ་	PART
འདུད་	འདུད་	NO_POS
༔		PUNCT
ཚེ་སྒྲུབ་	ཚེ་སྒྲུབ་	NOUN
བདུད་རྩི་	བདུད་རྩི་	NOUN
བུམ་	བུམ་	NOUN
བཅུད་	བཅུད་	NOUN
བསྟན་	བསྟན་	VERB
༔		PUNCT
		
དབེན་པ་	དབེན་པ་	VERB
འི་	གི་	PART
གནས་	གནས་	NOUN
སུ་	ལ་	PART
སྟེགས་བུ་	སྟེགས་བུ་	NO_POS
འི་	གི་	PART
ཁ་	ཁ་	PRON
ར་	ལ་	PART
༔		PUNCT
		
རྡུལ་ཚོན་	རྡུལ་ཚོན་	NOUN
ར་	ར་	NOUN
ཚོམ་	ཚོམ་	NO_POS
སྐབས་སྦྱར་	སྐབས་སྦྱར་	NO_POS
གྱི་	གི་	PART
༔		PUNCT
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
དབུ་	དབུ་	NOUN
སུ་	ལ་	PART
ལྡིང་	ལྡིང་	VERB
ཁྲི་	ཁྲི་	NUM
འི་	གི་	PART
ཁ་	ཁ་	PRON
ར་	ལ་	PART
༔		PUNCT
		
ཚེ་བུམ་	ཚེ་བུམ་	NO_POS
དབུ་	དབུ་	NOUN
ལ་	ལ་	PART
ཚེ་རིལ་	ཚེ་རིལ་	NO_POS
གཡའ་	གཡའ་	NOUN
༔		PUNCT
		
ཚེ་	ཚེ་	NOUN
མདའ་	མདའ་	NOUN
རྒྱབ་	རྒྱབ་	NOUN
ལ་	ལ་	PART
ཚེ་ཆང་	ཚེ་ཆང་	NO_POS
གཡོན་	གཡོན་	NOUN
༔		PUNCT
		
ཚེ་གཏོར་	ཚེ་གཏོར་	NO_POS
མདུན་	མདུན་	NOUN
བཤམ་	བཤམ་	NO_POS
མཆོད་པ་	མཆོད་པ་	VERB
ས་	གིས་	PART
བསྐོར་	བསྐོར་	VERB
༔		PUNCT
བདག་	བདག་	PRON
དང་	དང་	NO_POS
སྒྲུབ་	སྒྲུབ་	VERB
རྟེན་	རྟེན་	NOUN
དབྱེ་	དབྱེ་	VERB
ར་	ལ་	PART
མེད་	མེད་	VERB
དུ་	ལ་	PART
༔		PUNCT
		
རིག་འཛིན་	རིག་འཛིན་	OTHER
འདུས་པ་	འདུས་པ་	VERB
འི་	གི་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
གཞུང་	གཞུང་	NOUN
བསྲང་	བསྲང་	NO_POS
༔		PUNCT
བསྟོད་པ་	བསྟོད་པ་	VERB
འི་	གི་	PART
མཇུག་	མཇུག་	NOUN
ཏུ་	ལ་	PART
འཛབ་	འཛབ་	NO_POS
ཁང་	ཁང་	NOUN
དབྱེ་	དབྱེ་	VERB
༔		PUNCT
ཧྲཱིཿ་		NON_WORD
		
ཚེ་དབང་	ཚེ་དབང་	PROPN
རིག་འཛིན་	རིག་འཛིན་	OTHER
པདྨ་	པདྨ་	NOUN
འབྱུང་	འབྱུང་	VERB
༔		PUNCT
སྣང་སྲིད་	སྣང་སྲིད་	NOUN
ཟིལ་གནོན་	ཟིལ་གནོན་	NOUN
ཐུགས་ཀ་	ཐུགས་ཀ་	NOUN
རུ་	ལ་	PART
༔		PUNCT
བཅོམ་ལྡན་	བཅོམ་ལྡན་	NOUN
མགོན་པོ་	མགོན་པོ་	NOUN
ཚེ་	ཚེ་	NOUN
དཔག་མེད་	དཔག་མེད་	ADJ
༔		PUNCT
དམར་	དམར་	VERB
གསལ་	གསལ་	VERB
ལོངས་སྐུ་	ལོངས་སྐུ་	NOUN
ཡུམ་	ཡུམ་	NOUN
དང་	དང་	NO_POS
སྦྱོར་	སྦྱོར་	VERB
༔		PUNCT
པདྨ་	པདྨ་	NOUN
རཱ་	རཱ་	NO_POS
ག་	ག་	PRON
འི་	གི་	PART
བུམ་པ་	བུམ་པ་	NOUN
འཛིན་	འཛིན་	VERB
༔		PUNCT
ཐུགས་ཀ་	ཐུགས་ཀ་	NOUN
ར་	ལ་	PART
ཉི་ཟླ་	ཉི་ཟླ་	NOUN
འི་	གི་	PART
ག་འུ་	ག་འུ་	NO_POS
འི་	གི་	PART
ནང་	ནང་	NOUN
༔		PUNCT
སྲོག་	སྲོག་	NOUN
གི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
ཡི་གེ་	ཡི་གེ་	NOUN
ཧྲཱིཿ་		NON_WORD
ཐ་མ་	ཐ་མ་	ADJ
ར་	ལ་	PART
སྔགས་	སྔགས་	NOUN
ཀྱི་	གི་	PART
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
ས་	གིས་	PART
བསྐོར་	བསྐོར་	VERB
༔		PUNCT
འོད་ཟེར་	འོད་ཟེར་	NOUN
འཕྲོས་པ་	འཕྲོས་པ་	VERB
ས་	གིས་	PART
བརྟན་གཡོ་	བརྟན་གཡོ་	NO_POS
འི་	གི་	PART
བཅུད་	བཅུད་	NOUN
༔		PUNCT
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
རིག་འཛིན་	རིག་འཛིན་	OTHER
དྲང་སྲོང་	དྲང་སྲོང་	NOUN
གི་	གི་	PART
༔		PUNCT
ཚེ་བཅུད་	ཚེ་བཅུད་	NO_POS
བསྡུ་	བསྡུ་	VERB
ལ་	ལ་	PART
བཅུད་	བཅུད་	NOUN
དུ་	ལ་	PART
དྲིལ་	དྲིལ་	VERB
༔		PUNCT
བ་སྤུ་	བ་སྤུ་	NOUN
འི་	གི་	PART
བུ་ག་	བུ་ག་	NOUN
ཚུན་	ཚུན་	ADV
ཆོད་	ཆོད་	VERB
ཀྱང་	ཀྱང་	PART
༔		PUNCT
ཚེ་	ཚེ་	NOUN
དཔག་མེད་པ་	དཔག་མེད་པ་	ADJ
འི་	གི་	PART
ཐིམ་	ཐིམ་	NO_POS
གྱིས་	གིས་	PART
གང་	གང་	NO_POS
༔		PUNCT
ཀུན་	ཀུན་	DET
ཀྱང་	ཀྱང་	PART
བུང་བ་	བུང་བ་	NOUN
ཚང་	ཚང་	VERB
ཞིག་	ཅིག་	PART
ལྟ་	ལྟ་	OTHER
༔		PUNCT
ཧྲཱིཿ་		NON_WORD
སྒྲ་	སྒྲ་	NOUN
འཇམ་	འཇམ་	VERB
ལ་	ལ་	PART
སྙན་པ་	སྙན་པ་	VERB
ར་	ལ་	PART
སྒྲོགས་	སྒྲོགས་	VERB
༔		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
རིག་འཛིན་	རིག་འཛིན་	OTHER
འགྲུབ་པ་	འགྲུབ་པ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
༔		PUNCT
ངག་	ངག་	NOUN
ཏུ་	ལ་	PART
བརྗོད་	བརྗོད་	VERB
ཅིང་	ཅིང་	PART
ཡིད་	ཡིད་	NOUN
ལ་	ལ་	PART
བསམ་	བསམ་	NOUN
༔		PUNCT
		
འཇམ་རླུང་	འཇམ་རླུང་	NO_POS
བུམ་པ་	བུམ་པ་	NOUN
ཅན་	ཅན་	PART
དང་	དང་	NO_POS
སྦྲགས་	སྦྲགས་	NO_POS
༔		PUNCT
ཨོཾ་	ཨོཾ་	X
ཨཱཿ་		NON_WORD
ཧཱུྃ་		NON_WORD
བཛྲ་	བཛྲ་	NO_POS
མ་	མ་	PART
ཧཱ་		NON_WORD
གུ་རུ་	གུ་རུ་	PROPN
ཨ་	ཨ་	X
ཡུརྫྙཱ་		NON_WORD
ན་མ་	ན་མ་	PROPN
ཧཱ་		NON_WORD
པུ་	པུ་	NO_POS
ཎྱེ་		NON_WORD
ཚེ་	ཚེ་	NOUN
བྷྲཱུྃ་		NON_WORD
ནྲྀ་		NON_WORD
ཛཿ་		NON_WORD
སརྦ་	སརྦ་	NO_POS
སིདྡྷི་		NON_WORD
ཧཱུྃ་		NON_WORD
༔		PUNCT
ཐུན་	ཐུན་	NOUN
མཚམས་	མཚམས་	NOUN
རིག་འཛིན་	རིག་འཛིན་	OTHER
ཚེ་འགུགས་	ཚེ་འགུགས་	OTHER
ནི་	ནི་	NO_POS
༔		PUNCT
		
མདའ་དར་	མདའ་དར་	NOUN
ཚད་	ཚད་	NOUN
བཞག་	བཞག་	VERB
གདུང་ཤུགས་	གདུང་ཤུགས་	NOUN
བསྐྱེད་	བསྐྱེད་	VERB
༔		PUNCT
ཨོཾ་	ཨོཾ་	X
༔		PUNCT
		
རང་སྣང་	རང་སྣང་	NO_POS
ཟངས་མདོག་	ཟངས་མདོག་	PROPN
དཔལ་	དཔལ་	OTHER
གྱི་	གི་	PART
རི་	རི་	NOUN
༔		PUNCT
